DateTime,MentalHealthTweets,UV,CloudCover
2019-01-01 21:14:00,1.0,0.47,75.0
2019-01-01 21:20:00,0.0,0.47,75.0
2019-01-01 21:24:00,0.0,0.47,75.0
2019-01-01 21:30:00,0.0,0.47,90.0
2019-01-01 21:34:00,0.0,0.47,90.0
2019-01-01 21:40:00,0.0,0.47,90.0
2019-01-01 21:44:00,0.0,0.47,90.0
2019-01-01 21:50:00,0.0,0.47,90.0
2019-01-01 21:54:00,0.0,0.47,90.0
2019-01-01 22:00:00,0.0,0.47,90.0
2019-01-01 22:04:00,0.0,0.47,75.0
2019-01-01 22:10:00,0.0,0.47,75.0
2019-01-01 22:14:00,0.0,0.47,75.0
2019-01-01 22:20:00,0.0,0.47,75.0
2019-01-01 22:24:00,0.0,0.47,75.0
2019-01-01 22:30:00,0.0,0.47,75.0
2019-01-01 22:34:00,0.0,0.47,20.0
2019-01-02 03:54:00,1.0,0.47,90.0
2019-01-02 09:35:00,42.0,0.47,90.0
2019-01-02 09:40:00,24.0,0.47,90.0
2019-01-02 10:15:00,31.0,0.47,75.0
2019-01-02 10:20:00,32.0,0.47,75.0
2019-01-02 10:25:00,26.0,0.47,90.0
2019-01-02 10:30:00,28.0,0.47,90.0
2019-01-02 10:35:00,33.0,0.47,90.0
2019-01-02 10:40:00,24.0,0.47,90.0
2019-01-02 10:45:00,35.0,0.47,90.0
2019-01-02 10:50:00,34.0,0.47,90.0
2019-01-02 10:55:00,33.0,0.47,90.0
2019-01-02 11:00:00,24.0,0.47,90.0
2019-01-02 11:05:00,27.0,0.47,90.0
2019-01-02 11:10:00,23.0,0.47,90.0
2019-01-02 11:15:00,29.0,0.47,90.0
2019-01-02 11:20:00,24.0,0.47,90.0
2019-01-02 11:25:00,24.0,0.47,90.0
2019-01-02 11:30:00,24.0,0.47,90.0
2019-01-02 11:35:00,21.0,0.47,90.0
2019-01-02 11:40:00,34.0,0.47,90.0
2019-01-02 11:45:00,27.0,0.47,90.0
2019-01-02 11:55:00,19.0,0.47,90.0
2019-01-02 12:00:00,31.0,0.47,90.0
2019-01-02 12:05:00,30.0,0.47,90.0
2019-01-02 12:10:00,32.0,0.47,90.0
2019-01-02 12:15:00,30.0,0.47,90.0
2019-01-02 12:20:00,34.0,0.47,90.0
2019-01-02 12:25:00,25.0,0.47,90.0
2019-01-02 12:30:00,31.0,0.47,90.0
2019-01-02 12:35:00,34.0,0.47,90.0
2019-01-02 12:40:00,31.0,0.47,90.0
2019-01-02 12:45:00,35.0,0.47,90.0
2019-01-02 12:50:00,29.0,0.47,90.0
2019-01-02 12:55:00,31.0,0.47,90.0
2019-01-02 13:00:00,40.0,0.47,90.0
2019-01-02 13:05:00,32.0,0.47,90.0
2019-01-02 13:10:00,15.0,0.47,90.0
2019-01-02 13:15:00,24.0,0.47,90.0
2019-01-02 13:20:00,32.0,0.47,90.0
2019-01-02 13:25:00,25.0,0.47,90.0
2019-01-02 13:30:00,26.0,0.47,90.0
2019-01-02 13:35:00,35.0,0.47,75.0
2019-01-02 13:40:00,21.0,0.47,75.0
2019-01-02 13:45:00,28.0,0.47,75.0
2019-01-02 13:50:00,16.0,0.47,75.0
2019-01-02 13:55:00,36.0,0.47,75.0
2019-01-02 14:00:00,40.0,0.47,75.0
2019-01-02 14:05:00,25.0,0.47,90.0
2019-01-02 14:10:00,24.0,0.47,90.0
2019-01-02 14:15:00,28.0,0.47,90.0
2019-01-02 14:20:00,14.0,0.47,90.0
2019-01-02 14:25:00,28.0,0.47,90.0
2019-01-02 14:30:00,34.0,0.47,90.0
2019-01-02 14:35:00,17.0,0.47,90.0
2019-01-02 14:40:00,33.0,0.47,90.0
2019-01-02 14:45:00,28.0,0.47,90.0
2019-01-02 14:50:00,25.0,0.47,90.0
2019-01-02 14:55:00,30.0,0.47,90.0
2019-01-02 15:00:00,29.0,0.47,90.0
2019-01-02 15:05:00,26.0,0.47,90.0
2019-01-02 15:10:00,28.0,0.47,90.0
2019-01-02 15:15:00,26.0,0.47,90.0
2019-01-02 15:20:00,59.0,0.47,90.0
2019-01-02 15:25:00,30.0,0.47,90.0
2019-01-02 15:30:00,31.0,0.47,90.0
2019-01-02 15:35:00,31.0,0.47,90.0
2019-01-02 15:40:00,30.0,0.47,90.0
2019-01-02 15:45:00,23.0,0.47,90.0
2019-01-02 15:50:00,26.0,0.47,90.0
2019-01-02 15:55:00,28.0,0.47,90.0
2019-01-02 16:00:00,34.0,0.47,90.0
2019-01-02 16:05:00,32.0,0.47,90.0
2019-01-02 16:10:00,30.0,0.47,90.0
2019-01-02 16:15:00,32.0,0.47,90.0
2019-01-02 16:20:00,36.0,0.47,90.0
2019-01-02 16:25:00,25.0,0.47,90.0
2019-01-02 16:30:00,21.0,0.47,90.0
2019-01-02 16:35:00,44.0,0.47,90.0
2019-01-02 16:40:00,21.0,0.47,90.0
2019-01-02 16:45:00,35.0,0.47,90.0
2019-01-02 16:50:00,25.0,0.47,90.0
2019-01-02 16:55:00,21.0,0.47,90.0
2019-01-02 17:00:00,42.0,0.47,90.0
2019-01-02 17:05:00,34.0,0.47,90.0
2019-01-02 17:10:00,32.0,0.47,90.0
2019-01-02 17:15:00,35.0,0.47,90.0
2019-01-02 17:20:00,30.0,0.47,90.0
2019-01-02 17:25:00,26.0,0.47,90.0
2019-01-02 17:30:00,25.0,0.47,90.0
2019-01-02 17:35:00,33.0,0.47,90.0
2019-01-02 17:40:00,28.0,0.47,90.0
2019-01-02 17:45:00,25.0,0.47,90.0
2019-01-02 17:50:00,27.0,0.47,90.0
2019-01-02 17:55:00,31.0,0.47,90.0
2019-01-02 18:00:00,32.0,0.47,90.0
2019-01-02 18:05:00,33.0,0.47,90.0
2019-01-02 18:10:00,29.0,0.47,90.0
2019-01-02 18:15:00,36.0,0.47,90.0
2019-01-02 18:20:00,28.0,0.47,90.0
2019-01-02 18:25:00,38.0,0.47,90.0
2019-01-02 18:30:00,34.0,0.47,90.0
2019-01-02 18:35:00,27.0,0.47,90.0
2019-01-02 18:40:00,31.0,0.47,90.0
